path,time_start,duration,label
./videos/9 New Crashes At The 11foot8 Bridge-UsqSNFWY5Io.mp4,00:00:23.0,00:00:01.0,negative
./videos/9 New Crashes At The 11foot8 Bridge-UsqSNFWY5Io.mp4,00:00:30.0,00:00:02.0,negative
./videos/9 New Crashes At The 11foot8 Bridge-UsqSNFWY5Io.mp4,00:00:50.0,00:00:01.0,negative
./videos/9 New Crashes At The 11foot8 Bridge-UsqSNFWY5Io.mp4,00:00:58.0,00:00:02.0,negative
./videos/9 New Crashes At The 11foot8 Bridge-UsqSNFWY5Io.mp4,00:01:13.0,00:00:02.0,negative
./videos/9 New Crashes At The 11foot8 Bridge-UsqSNFWY5Io.mp4,00:02:19.0,00:00:02.0,negative
./videos/9 New Crashes At The 11foot8 Bridge-UsqSNFWY5Io.mp4,00:02:19.0,00:00:02.0,negative
./videos/9 New Crashes At The 11foot8 Bridge-UsqSNFWY5Io.mp4,00:02:21.0,00:00:02.0,negative
./videos/11Foot8 Bridge - AC Unit Crash Compilation-wvsfuIP5Npc.mp4,00:00:13.0,00:00:01.0,negative
./videos/11Foot8 Bridge 2018 Crash Compilation-yk-MJjYXVLw.mp4,00:01:27.0,00:00:01.0,negative
./videos/11Foot8 Bridge 2018 Crash Compilation-yk-MJjYXVLw.mp4,00:01:28.5,00:00:01.0,negative
./videos/11Foot8 Bridge 2018 Crash Compilation-yk-MJjYXVLw.mp4,00:01:30.0,00:00:01.0,negative
./videos/11Foot8 Bridge 2018 Crash Compilation-yk-MJjYXVLw.mp4,00:01:45.0,00:00:02.0,negative
./videos/11Foot8 Bridge 2018 Crash Compilation-yk-MJjYXVLw.mp4,00:01:58.0,00:00:02.0,negative
./videos/11Foot8 Bridge 2018 Crash Compilation-yk-MJjYXVLw.mp4,00:02:23.0,00:00:02.0,negative
./videos/11Foot8 Bridge 2018 Crash Compilation-yk-MJjYXVLw.mp4,00:02:48.0,00:00:02.0,negative
./videos/11Foot8 Crash Compilation 2019-2021-3AbU_CnkBiE.mp4,00:04.0,00:01.0,negative
./videos/11Foot8 Crash Compilation 2019-2021-3AbU_CnkBiE.mp4,00:37.0,00:01.5,negative
./videos/11Foot8 Crash Compilation 2019-2021-3AbU_CnkBiE.mp4,00:45.0,00:01.5,negative
./videos/11Foot8 Crash Compilation 2019-2021-3AbU_CnkBiE.mp4,01:03.5,00:01.5,negative
./videos/11Foot8 Crash Compilation 2019-2021-3AbU_CnkBiE.mp4,01:40.0,00:02.5,negative
./videos/11Foot8 Crash Compilation 2019-2021-3AbU_CnkBiE.mp4,01:50.0,00:02.0,negative
./videos/11Foot8 Crash Compilation 2019-2021-3AbU_CnkBiE.mp4,02:00.0,00:02.0,negative
./videos/11Foot8 Crash Compilation 2019-2021-3AbU_CnkBiE.mp4,02:05.5,00:02.0,negative
./videos/11Foot8 Crash Compilation 2019-2021-3AbU_CnkBiE.mp4,02:08.0,00:01.0,negative
./videos/11Foot8 Crash Compilation 2019-2021-3AbU_CnkBiE.mp4,02:09.0,00:01.0,negative
./videos/11Foot8 Crash Compilation 2019-2021-3AbU_CnkBiE.mp4,02:46.0,00:02.0,negative
./videos/11Foot8 Crash Compilation 2019-2021-3AbU_CnkBiE.mp4,02:55.0,00:02.0,negative
./videos/11Foot8 Crash Compilation 2019-2021-3AbU_CnkBiE.mp4,03:04.5,00:01.0,negative
./videos/11Foot8 Crash Compilation 2019-2021-3AbU_CnkBiE.mp4,03:51.0,00:01.0,negative
./videos/11Foot8 Crash Compilation 2019-2021-3AbU_CnkBiE.mp4,03:54.0,00:02.0,negative
./videos/11Foot8 Crash Compilation 2019-2021-3AbU_CnkBiE.mp4,04:07.0,00:02.0,negative
