label,youtube_id,time_start,time_end,split,is_cc
"eating burger",rFDZZNF4nTY,18,28,train,0
"eating burger",rfsfmzRgnss,2851,2861,train,0
"eating burger",RHcCktMdUek,54,64,train,0
"eating burger",RoGRIV-2uuA,39,49,train,0
"eating burger",rOKym5feDYQ,94,104,train,0
"eating burger",rOL14HIZ1h8,11,21,train,0
"eating burger",RpnqQmZ2o-Y,3,13,train,0
"eating burger",rryf2dMgXBU,0,10,train,0
"eating burger",rWBNapIKBqw,14,24,train,0
"eating burger",RWgt5TepvVA,18,28,train,0
"eating burger",rwHx1zpxqpo,156,166,train,0
"eating burger",rwISuSnVuqs,106,116,train,0
"eating burger",RyUcb5y-928,54,64,train,0
"eating burger",RzOl4ixm-P8,9,19,train,0
"eating burger",s-gG2sjTA9w,636,646,train,0
"eating burger",S-V6mFDVaOY,17,27,train,0
"eating burger",s0j880Bfsoo,14,24,train,0
"eating burger",s3_7Hc4KuWs,108,118,train,0
"eating burger",s4KSY7we1oM,135,145,train,0
"eating burger",S6lfBcrpGcc,97,107,train,0
"eating burger",s6xx-XjC4_g,4,14,train,0
"eating burger",S9OJsTlALK0,11,21,train,0
"eating burger",SAzkT4ImgyY,32,42,train,0
"eating burger",SbR7E81ZHUI,0,10,train,0
"eating burger",SDHHzvE6_Gw,198,208,train,0
"eating burger",SJemfPPEOQE,27,37,train,0
"eating burger",SKn897_IGdw,17,27,train,0
"eating burger",SlUCZmSW5vY,60,70,train,0
